,lat,lng,city,country
ksu.edu,39.1938,-96.5858,Manhattan,US
kth.se,60.128161,18.643501,,SE
ku.dk,56.26392,9.501785,,DK
ku.edu.tr,38.963745,35.243322,,TR
kubstu.ru,61.52401,105.31875600000001,,RU
kuleuven.ac.be,50.503887,4.469936,,BE
kumamoto-u.ac.jp,36.204824,138.252924,,JP
kun.nl,52.132633,5.291266,,NL
kunsan.ac.kr,35.907757000000004,127.766922,,KR
kva.se,60.128161,18.643501,,SE
kwansei.ac.jp,36.204824,138.252924,,JP
kyoto-u.ac.jp,36.204824,138.252924,,JP
kyunghee.ac.kr,35.907757000000004,127.766922,,KR
kyungnam.ac.kr,35.907757000000004,127.766922,,KR
kyungpook.ac.kr,35.907757000000004,127.766922,,KR
kyungsung.ac.kr,35.907757000000004,127.766922,,KR
kyushu-u.ac.jp,36.204824,138.252924,,JP
kzn.ru,61.52401,105.31875600000001,,RU
lancaster.ac.uk,54.0167,-2.7833,Scotforth,GB
lancs.ac.uk,54.0167,-2.7833,Scotforth,GB
landau.ac.ru,61.52401,105.31875600000001,,RU
lanl.gov,37.751,-97.822,,US
latrobe.edu.au,-25.274398,133.775136,,AU
lbl.gov,37.8571,-122.25,Berkeley,US
lboro.ac.uk,52.7833,-1.25,Hathern,GB
lebedev.ru,61.52401,105.31875600000001,,RU
leeds.ac.uk,53.7965,-1.5478,Leeds,GB
leicester.ac.uk,52.6386,-1.1317,Leicester,GB
leidenuniv.nl,52.132633,5.291266,,NL
libero.it,41.87194,12.56738,,IT
liu.se,60.128161,18.643501,,SE
liv.ac.uk,53.4062,-2.9745,Liverpool,GB
lncc.br,-14.235004,-51.92528,,BR
lodz.pl,51.919438,19.145135999999997,,PL
lpi.ac.ru,61.52401,105.31875600000001,,RU
lpi.ru,61.52401,105.31875600000001,,RU
lsu.edu,30.405,-91.1868,Baton Rouge,US
lth.se,60.128161,18.643501,,SE
lu.se,60.128161,18.643501,,SE
lublin.pl,51.919438,19.145135999999997,,PL
luc.edu,42.0095,-87.6689,Chicago,US
lviv.ua,48.379433,31.16558,,UA
lzu.edu.cn,35.86166,104.195397,,CN
madritel.es,40.463667,-3.7492199999999998,,ES
mail.ru,61.52401,105.31875600000001,,RU
mail2000.ru,61.52401,105.31875600000001,,RU
maine.edu,45.0028,-68.6334,Orono,US
mam.gov.tr,38.963745,35.243322,,TR
man.ac.uk,53.4809,-2.2374,Manchester,GB
mass.edu,42.1736,-71.0514,Randolph,US
math-inst.hu,47.162494,19.503304,,HU
math.ca,56.130366,-106.34677099999999,,CA
may.ie,53.41291,-8.243889999999999,,IE
mccme.ru,61.52401,105.31875600000001,,RU
mcgill.ca,56.130366,-106.34677099999999,,CA
mclink.it,41.87194,12.56738,,IT
mcmaster.ca,56.130366,-106.34677099999999,,CA
metro-u.ac.jp,36.204824,138.252924,,JP
metu.edu.tr,38.963745,35.243322,,TR
miami.edu,37.3203,-78.5487,Prospect,US
mian.su,61.52401,105.31875600000001,,RU
middlebury.edu,44.0155,-73.1694,Middlebury,US
missouri.edu,38.9348,-92.3639,Columbia,US
mit.edu,37.751,-97.822,,US
ml.org,51.2993,9.491,,DE
moldnet.md,47.411631,28.369884999999996,,MD
monash.edu.au,-25.274398,133.775136,,AU
mpg.de,51.165690999999995,10.451526,,DE
msk.ru,61.52401,105.31875600000001,,RU
msk.su,55.7386,37.6068,,RU
msri.org,36.8102,-119.382,Piedra,US
msu.ru,61.52401,105.31875600000001,,RU
msu.su,61.52401,105.31875600000001,,RU
mum.edu,33.9631,-118.394,Los Angeles,US
muni.cz,49.817492,15.472961999999999,,CZ
nagoya-u.ac.jp,36.204824,138.252924,,JP
nara-edu.ac.jp,36.204824,138.252924,,JP
nara-wu.ac.jp,36.204824,138.252924,,JP
nasa.gov,30.0866,-94.1274,Beaumont,US
nbi.dk,56.26392,9.501785,,DK
